feed_name,proteinContent,fatContent,fiberContent,calciumContent,phosphorusContent,moistureContent,ashContent,metabolizableEnergy,lysineContent,methionineContent,particleSize,density,price,shelfLife,weight
FirstPeck,19.5,3.2,2.4,0.82,0.78,10.8,4.5,2921,0.96,0.43,3.5,0.57,1.71,295,16.285714285714285
ChickStart Plus,18.2,3.8,3.9,3.02,0.68,9.3,6.9,2865,0.99,0.37,3.4,0.7,1.67,302,20.588235294117645
EarlyGrow Formula,19.3,4.6,3.2,1.2,0.69,10.2,5.8,2950,1.05,0.38,3.3,0.69,1.65,331,20.909090909090907
HatchMate Premier,20.2,3.7,3.8,3.16,0.63,11.4,5.7,2866,1.11,0.38,3.2,0.74,1.71,292,23.125
PeepNourish,19.2,3.9,4.2,3.06,0.61,9.3,5.9,2860,0.91,0.34,2.9,0.64,1.67,309,22.06896551724138
NestStart Gold,19.0,4.0,3.5,1.12,0.74,9.9,4.8,2917,0.93,0.37,2.9,0.72,1.68,334,24.82758620689655
FledglingBlend,17.3,4.2,3.4,0.89,0.65,9.9,4.9,3002,0.86,0.39,2.4,0.69,1.66,307,28.749999999999996
ChickBoost Complete,18.5,4.1,3.7,1.0,0.68,11.5,6.2,3001,0.94,0.41,1.8,0.67,1.66,309,37.22222222222222
HatchlingEssentials,22.6,5.5,3.1,0.84,0.69,10.6,5.9,3165,1.21,0.5,3.2,0.62,1.8,309,19.374999999999996
FirstFeather Nutrition,23.1,5.3,3.2,0.77,0.71,9.2,6.5,3082,1.24,0.48,2.3,0.67,1.82,322,29.1304347826087
StartRight Formula,20.5,4.4,2.4,0.87,0.79,10.0,4.3,2937,0.93,0.37,2.9,0.7,1.74,306,24.137931034482758
EggToChick Plus,21.1,4.5,2.8,0.95,0.75,10.6,6.2,3050,1.02,0.41,3.0,0.66,1.74,298,22.0
BabyBirdBlend,17.7,3.5,3.3,3.3,0.58,11.1,5.8,2779,0.86,0.38,3.1,0.72,1.63,318,23.2258064516129
ChickLaunch Pro,22.6,5.0,3.1,0.72,0.84,9.9,5.5,3147,1.16,0.48,3.1,0.63,1.83,324,20.32258064516129
HatchSuccess Formula,16.7,2.9,4.6,3.94,0.51,11.0,5.4,2776,0.8,0.32,1.6,0.74,1.59,322,46.25
PeepStart Max,16.5,3.4,3.6,0.73,0.65,10.8,6.4,2789,0.85,0.28,2.0,0.57,1.6,293,28.499999999999996
PulletFirst Complete,20.3,3.2,4.1,3.01,0.57,10.4,6.5,2893,1.01,0.37,2.3,0.65,1.64,314,28.260869565217394
GrowStrong Advanced,18.1,4.5,4.4,3.16,0.55,9.5,5.6,2883,0.91,0.33,2.3,0.67,1.64,315,29.1304347826087
FeatherUp Complete,19.6,4.0,2.7,1.19,0.77,10.7,5.1,2936,1.0,0.39,2.7,0.65,1.71,298,24.074074074074073
PulletPower Premium,17.4,3.0,4.5,0.84,0.64,9.8,6.0,2842,0.88,0.35,2.8,0.68,1.6,327,24.28571428571429
MidGrow Formula,16.6,3.8,4.5,3.88,0.5,11.7,6.2,2813,0.89,0.34,2.9,0.7,1.57,312,24.137931034482758
JuvenileBlend Plus,18.4,3.9,3.8,0.74,0.66,10.7,6.6,2990,0.86,0.41,2.6,0.72,1.69,322,27.69230769230769
GrowthMax Complete,17.8,4.4,3.6,0.79,0.62,11.6,7.0,3022,0.95,0.33,3.1,0.69,1.7,290,22.258064516129032
TeenChick Formula,19.3,4.0,3.3,0.98,0.73,9.5,5.1,2886,1.02,0.43,3.0,0.74,1.66,302,24.666666666666668
DevelopPro Advanced,16.6,3.5,3.3,0.88,0.72,10.3,6.3,2843,0.93,0.36,2.5,0.57,1.59,305,22.799999999999997
MidStageNutrition,16.6,3.2,3.9,3.9,0.41,11.0,5.3,2712,0.78,0.32,1.9,0.71,1.54,316,37.368421052631575
RapidGrow Complete,21.3,4.3,2.6,0.7,0.81,9.3,4.7,3095,1.11,0.47,1.6,0.62,1.8,326,38.74999999999999
FeatherFill Premium,17.9,4.1,3.9,0.83,0.64,9.0,5.8,2880,0.98,0.34,1.6,0.56,1.59,303,35.0
PulletDevelop Formula,20.1,3.6,4.7,3.35,0.72,9.8,5.2,2850,1.05,0.41,1.5,0.61,1.65,324,40.666666666666664
JuniorLayer Prep,17.9,3.5,3.5,3.03,0.57,11.6,6.9,2868,0.95,0.37,3.0,0.65,1.62,309,21.666666666666668
MatureBlend Complete,15.6,2.7,4.7,3.74,0.58,11.7,7.0,2760,0.8,0.27,3.3,0.65,1.53,316,19.6969696969697
GrowthFinish Advanced,15.3,3.8,4.9,3.66,0.58,11.0,5.8,2726,0.82,0.29,3.0,0.66,1.57,323,22.0
EggMaster Premium,21.4,4.5,2.9,0.96,0.71,9.8,4.5,2900,1.09,0.41,2.1,0.67,1.66,319,31.90476190476191
LayMore Gold,21.3,4.6,2.3,0.94,0.6,9.5,6.4,2921,1.05,0.38,3.3,0.68,1.74,316,20.60606060606061
ShellStrength Pro,19.7,4.1,2.5,1.11,0.61,9.1,4.5,2922,0.91,0.41,2.0,0.73,1.63,313,36.5
LayerLuxe Complete,17.6,4.0,4.5,3.03,0.58,10.2,5.2,2799,0.84,0.37,1.7,0.69,1.58,296,40.588235294117645
EggBoost Supreme,19.1,3.9,2.5,0.91,0.69,11.4,4.6,2900,0.92,0.42,3.3,0.75,1.66,310,22.72727272727273
NestResult Formula,15.8,3.3,4.5,3.78,0.56,11.4,6.4,2711,0.87,0.33,1.6,0.7,1.51,307,43.74999999999999
PeakLay Advanced,20.0,4.6,3.6,0.99,0.75,9.4,7.0,2904,1.05,0.41,2.7,0.58,1.66,307,21.48148148148148
ShellMax Enhanced,23.3,5.1,2.3,1.09,0.75,11.8,5.4,3076,1.07,0.42,2.6,0.56,1.78,290,21.53846153846154
EggcellenceBlend,15.0,3.2,4.2,3.79,0.56,11.4,6.6,2771,0.69,0.26,3.0,0.62,1.56,320,20.666666666666668
LayerProducer Plus,19.4,3.8,4.3,1.0,0.56,9.0,5.3,2896,1.03,0.39,2.5,0.65,1.61,337,26.0
ClutchMaster Formula,17.5,4.2,3.3,0.88,0.6,9.2,5.8,2902,0.81,0.31,3.1,0.71,1.59,311,22.90322580645161
YolkPerfect Premium,15.8,4.7,3.7,0.72,0.52,10.8,5.1,3024,0.75,0.33,3.3,0.55,1.64,295,16.666666666666668
LayWell Complete,19.4,3.9,2.4,1.05,0.75,9.1,6.0,2940,0.98,0.34,3.1,0.65,1.69,330,20.967741935483872
OmegaEgg Enhanced,18.3,4.7,3.6,3.18,0.58,10.2,5.5,2897,0.86,0.35,2.7,0.65,1.6,303,24.074074074074073
EggStream Formula,17.3,4.0,3.6,1.0,0.6,10.5,6.9,3029,0.95,0.39,2.8,0.7,1.62,320,25.0
FertileLayer Complete,19.5,3.1,3.6,0.84,0.7,11.9,5.6,2842,0.95,0.38,1.7,0.61,1.61,309,35.88235294117647
ShellBuilder Pro,20.9,3.6,3.5,0.84,0.62,11.9,5.4,2945,0.97,0.39,2.3,0.63,1.66,324,27.39130434782609
MeatMax Complete,19.2,4.1,4.3,1.09,0.73,11.5,4.9,2876,0.92,0.43,1.6,0.69,1.63,294,43.125
BroilerBoost Supreme,19.8,3.7,3.0,1.13,0.68,9.6,6.7,2900,0.93,0.43,2.7,0.56,1.67,304,20.74074074074074
GrowthBurst Formula,21.0,3.7,3.7,0.97,0.64,9.8,6.9,2915,1.13,0.43,1.9,0.59,1.74,305,31.05263157894737
MuscleBuilder Pro,17.4,4.0,4.0,0.99,0.55,9.3,5.7,2957,0.83,0.35,3.4,0.66,1.66,315,19.411764705882355
RapidMeat Enhanced,17.0,3.6,4.1,0.93,0.55,11.8,6.9,2869,0.95,0.32,1.8,0.63,1.63,326,35.0
ProteinPeak Complete,17.2,2.8,4.5,0.82,0.63,10.1,4.1,2786,0.91,0.38,3.5,0.69,1.58,334,19.71428571428571
BroilerPlus Advanced,19.6,3.2,2.7,0.8,0.68,10.3,4.9,2924,0.93,0.43,2.7,0.55,1.63,322,20.370370370370374
MeatMaker Premium,20.7,4.4,3.2,0.81,0.7,11.7,6.7,2875,1.03,0.43,1.6,0.61,1.71,299,38.125
QuickGrow Formula,19.0,3.3,3.5,3.37,0.7,9.2,6.0,2852,0.92,0.33,1.9,0.56,1.63,323,29.47368421052632
BroilerBulk Ultra,22.7,5.7,3.0,0.92,0.73,11.7,5.1,3079,1.23,0.48,3.1,0.66,1.73,290,21.290322580645164
WeightGain Pro,19.5,3.9,3.6,1.07,0.64,11.4,5.0,2864,0.89,0.37,3.2,0.6,1.64,304,18.749999999999996
BroilerCharge Complete,18.3,4.0,4.1,1.09,0.75,11.1,4.5,2912,0.89,0.37,2.9,0.7,1.66,318,24.137931034482758
MeatYield Advanced,15.5,3.6,4.8,3.95,0.58,10.1,6.5,2769,0.74,0.31,2.8,0.62,1.53,334,22.142857142857146
FastFinish Formula,18.0,5.2,2.9,0.93,0.69,10.7,5.6,3051,0.81,0.4,2.1,0.74,1.63,303,35.238095238095234
BroilerComplete Plus,19.4,3.9,3.7,0.86,0.62,10.8,6.6,2918,1.07,0.35,3.0,0.65,1.71,306,21.666666666666668
FinishPro Supreme,20.1,4.2,4.5,3.38,0.65,10.4,4.6,2849,1.03,0.43,2.7,0.7,1.62,325,25.925925925925924
FinalPhase Complete,21.1,3.9,3.0,0.94,0.64,10.8,5.8,2898,1.11,0.42,2.5,0.71,1.67,301,28.4
LastStage Enhanced,21.2,3.6,2.5,0.93,0.62,10.8,5.4,2859,0.97,0.42,2.2,0.63,1.64,294,28.636363636363633
MarketPrep Formula,23.4,4.3,2.4,1.04,0.83,10.2,4.9,3100,1.11,0.5,2.6,0.72,1.8,308,27.69230769230769
FinishRight Premium,20.5,4.4,2.9,0.91,0.75,10.1,4.7,2953,0.99,0.38,3.0,0.67,1.69,325,22.333333333333336
ReadyWeight Complete,21.3,4.6,3.5,1.01,0.78,10.3,4.9,2972,1.05,0.4,1.8,0.61,1.75,327,33.888888888888886
MarketMax Formula,15.8,3.9,2.8,0.78,0.68,9.0,6.3,2950,0.85,0.28,2.5,0.61,1.64,324,24.4
FinishLine Enhanced,16.0,3.4,4.7,3.63,0.43,11.4,6.7,2794,0.82,0.35,3.2,0.64,1.57,316,20.0
FinalBoost Premium,19.8,4.5,3.4,3.39,0.73,9.8,6.6,2866,0.89,0.42,2.1,0.56,1.67,332,26.666666666666668
PrimeFinish Complete,16.2,3.3,4.5,3.66,0.43,10.3,6.6,2764,0.9,0.29,2.9,0.67,1.56,302,23.10344827586207
MarketReady Formula,16.0,4.9,3.5,0.67,0.56,11.2,4.8,3042,0.75,0.28,1.8,0.59,1.66,301,32.77777777777778
EndStage Enhanced,16.9,4.3,4.3,0.71,0.62,10.6,6.2,2868,0.81,0.33,2.5,0.57,1.61,332,22.799999999999997
FineMeat Formula,22.8,5.6,2.8,1.07,0.78,11.5,4.3,3086,1.22,0.44,2.5,0.6,1.82,307,24.0
PerfectFinish Pro,16.4,2.3,4.0,3.62,0.51,9.1,5.6,2773,0.9,0.33,2.2,0.72,1.54,337,32.72727272727272
LastBoost Complete,18.6,2.8,4.1,0.9,0.75,9.3,4.9,2813,0.9,0.4,1.8,0.65,1.64,303,36.11111111111111
FertilityPlus Complete,18.8,3.8,3.2,1.11,0.61,11.8,4.6,2883,0.84,0.35,1.6,0.57,1.62,290,35.62499999999999
HatchRate Pro,20.9,3.5,2.6,1.07,0.62,10.2,6.0,2854,1.0,0.46,3.1,0.72,1.66,322,23.2258064516129
BreederPrime Formula,20.5,3.7,3.4,3.03,0.58,11.3,5.2,2899,1.1,0.37,2.2,0.56,1.67,313,25.454545454545457
ReproMax Enhanced,17.0,2.6,4.5,3.67,0.57,9.4,6.7,2796,0.77,0.36,2.9,0.67,1.58,299,23.10344827586207
ClutchBoost Supreme,18.4,4.9,4.1,0.89,0.69,10.1,4.5,2977,0.84,0.35,1.9,0.57,1.66,312,30.0
FertileEgg Premium,22.0,4.8,2.7,0.9,0.67,10.4,6.1,3059,1.1,0.46,2.1,0.57,1.75,316,27.142857142857142
BreederElite Complete,19.9,4.3,4.1,3.18,0.75,11.2,4.1,2870,0.91,0.44,2.9,0.67,1.7,317,23.10344827586207
ReproSuccess Formula,15.5,4.9,3.6,1.0,0.65,9.7,5.0,3028,0.71,0.36,1.7,0.68,1.61,322,40.0
HatchMore Premium,20.5,5.4,3.3,0.98,0.71,10.0,5.7,3081,1.12,0.4,3.1,0.6,1.74,325,19.35483870967742
BreederChoice Complete,15.9,3.2,5.0,3.62,0.4,11.6,4.5,2786,0.71,0.28,2.5,0.66,1.52,319,26.400000000000002
FertilityMax Formula,20.5,4.4,2.8,0.82,0.77,10.0,6.8,2868,0.93,0.46,3.4,0.69,1.68,309,20.294117647058822
EggQuality Enhanced,19.7,4.6,4.1,3.2,0.57,10.6,5.4,2890,1.02,0.43,1.6,0.6,1.66,318,37.49999999999999
BreederPerfect Plus,15.6,4.9,4.0,0.84,0.58,9.1,6.3,3034,0.72,0.33,1.7,0.73,1.65,337,42.94117647058823
ReproNutrient Formula,20.8,3.7,3.5,0.86,0.66,9.7,6.2,2913,0.96,0.42,3.0,0.7,1.68,332,23.333333333333332
FecundityBoost Complete,17.7,3.0,4.5,0.73,0.69,11.3,5.8,2789,0.95,0.35,1.6,0.73,1.56,303,45.625
BreederVital Premium,17.3,2.8,3.5,1.01,0.67,10.2,4.3,2830,0.85,0.34,3.1,0.63,1.62,316,20.32258064516129
FertileSupport Enhanced,16.4,4.5,3.5,0.7,0.63,10.1,4.7,3006,0.9,0.29,2.0,0.62,1.63,300,31.0
HatchPro Complete,19.7,3.3,4.0,3.27,0.63,10.0,5.0,2875,1.06,0.4,2.5,0.57,1.63,319,22.799999999999997
BreederOptimal Formula,22.1,4.5,3.1,0.82,0.74,10.0,4.5,3132,1.02,0.44,2.5,0.65,1.76,334,26.0
ClutchPower Premium,17.4,3.4,4.5,0.95,0.64,11.6,4.1,2885,0.82,0.33,2.0,0.56,1.65,300,28.000000000000004
BreederAdvance Complete,18.3,4.9,3.5,0.68,0.53,9.9,6.6,3054,0.91,0.39,2.5,0.65,1.71,333,26.0
